event_id,timestamp,usuario,tipo_evento,status
EVT-1000,2026-04-14 01:17:20,fnunes,DOWNLOAD,PENDENTE
EVT-1001,2026-04-13 03:03:20,barbosathomas,RESET_SENHA,PENDENTE
EVT-1002,2026-04-09 18:50:20,cda-mata,ALTERACAO_DADOS,PENDENTE
EVT-1003,2026-05-07 05:47:20,ribeiroclarice,UPLOAD,SUCESSO
EVT-1004,2026-04-26 06:04:20,isisribeiro,ERRO_API,FALHA
EVT-1005,2026-05-13 03:49:20,xpires,LOGOUT,PENDENTE
EVT-1006,2026-05-11 03:20:20,sofia21,DOWNLOAD,PENDENTE
EVT-1007,2026-05-03 05:46:20,teixeiragustavo-henrique,DOWNLOAD,PENDENTE
EVT-1008,2026-04-25 16:43:20,kda-cunha,ALTERACAO_DADOS,FALHA
EVT-1009,2026-04-09 02:09:20,ana-juliafreitas,UPLOAD,PENDENTE
EVT-1010,2026-05-03 20:15:20,kpeixoto,ERRO_API,FALHA
EVT-1011,2026-04-27 20:16:20,sabrina21,LOGOUT,FALHA
EVT-1012,2026-04-30 06:41:20,francisco14,CADASTRO,SUCESSO
EVT-1013,2026-04-10 10:57:20,ecastro,ALTERACAO_DADOS,SUCESSO
EVT-1014,2026-04-29 01:02:20,ramosdiogo,COMPRA,SUCESSO
EVT-1015,2026-05-12 21:43:20,barbosarenan,LOGIN,SUCESSO
EVT-1016,2026-04-17 15:46:20,costalucas,DOWNLOAD,FALHA
EVT-1017,2026-04-30 13:13:20,paulobarbosa,UPLOAD,FALHA
EVT-1018,2026-04-26 05:04:20,hcavalcanti,DOWNLOAD,SUCESSO
EVT-1019,2026-05-13 10:07:20,ida-rosa,UPLOAD,SUCESSO
EVT-1020,2026-04-09 13:27:20,pnogueira,LOGIN,FALHA
EVT-1021,2026-04-25 20:10:20,pintomanuela,RESET_SENHA,PENDENTE
EVT-1022,2026-05-01 04:46:20,tpinto,UPLOAD,PENDENTE
EVT-1023,2026-04-26 13:26:20,mmelo,COMPRA,SUCESSO
EVT-1024,2026-04-10 06:00:20,agathaaragao,DOWNLOAD,PENDENTE
EVT-1025,2026-04-15 12:48:20,sarahda-paz,DOWNLOAD,PENDENTE
EVT-1026,2026-05-11 18:46:20,thiago19,ALTERACAO_DADOS,SUCESSO
EVT-1027,2026-04-12 02:25:20,miguel80,ALTERACAO_DADOS,PENDENTE
EVT-1028,2026-04-12 17:15:20,kpereira,PAGAMENTO,FALHA
EVT-1029,2026-04-26 09:34:20,enrico75,ERRO_API,FALHA
EVT-1030,2026-05-07 11:16:20,fteixeira,ERRO_API,PENDENTE
EVT-1031,2026-04-23 08:22:20,krezende,CADASTRO,PENDENTE
EVT-1032,2026-04-10 11:53:20,joana16,LOGOUT,SUCESSO
EVT-1033,2026-05-10 18:35:20,yagonogueira,LOGOUT,FALHA
EVT-1034,2026-04-28 15:06:20,carvalhojoao-guilherme,COMPRA,SUCESSO
EVT-1035,2026-05-11 15:14:20,heloisasantos,COMPRA,FALHA
EVT-1036,2026-05-11 06:46:20,luiz-miguelazevedo,PAGAMENTO,SUCESSO
EVT-1037,2026-04-11 18:42:20,clara89,LOGIN,PENDENTE
EVT-1038,2026-04-11 03:02:20,salesana-julia,LOGIN,PENDENTE
EVT-1039,2026-05-07 00:20:20,piresnoah,ALTERACAO_DADOS,SUCESSO
EVT-1040,2026-04-24 00:48:20,iancardoso,PAGAMENTO,FALHA
EVT-1041,2026-05-12 22:59:20,agatha33,UPLOAD,FALHA
EVT-1042,2026-04-19 14:01:20,da-rosaerick,ALTERACAO_DADOS,PENDENTE
EVT-1043,2026-05-07 09:49:20,lorenzo48,ALTERACAO_DADOS,FALHA
EVT-1044,2026-04-13 18:21:20,da-rochacaua,ALTERACAO_DADOS,SUCESSO
EVT-1045,2026-04-27 07:42:20,liviamoraes,LOGIN,FALHA
EVT-1046,2026-05-01 19:49:20,arthur59,COMPRA,SUCESSO
EVT-1047,2026-04-12 04:48:20,juliaazevedo,ALTERACAO_DADOS,SUCESSO
EVT-1048,2026-04-27 04:15:20,ana-sophia15,PAGAMENTO,PENDENTE
EVT-1049,2026-05-02 09:23:20,sviana,UPLOAD,SUCESSO
EVT-1050,2026-05-07 04:56:20,limapietro,LOGIN,PENDENTE
EVT-1051,2026-04-21 19:42:20,cavalcantijuliana,CADASTRO,FALHA
EVT-1052,2026-04-30 02:38:20,gomesjoao-pedro,DOWNLOAD,FALHA
EVT-1053,2026-04-30 13:26:20,limapedro-henrique,LOGIN,FALHA
EVT-1054,2026-04-21 15:03:20,joao-miguel71,CADASTRO,FALHA
EVT-1055,2026-05-12 19:23:20,ldas-neves,RESET_SENHA,PENDENTE
EVT-1056,2026-05-03 15:08:20,julia96,RESET_SENHA,SUCESSO
EVT-1057,2026-04-11 02:46:20,aragaopaulo,LOGOUT,FALHA
EVT-1058,2026-04-29 05:32:20,isabellacampos,DOWNLOAD,SUCESSO
EVT-1059,2026-04-28 17:22:20,igor73,LOGIN,FALHA
EVT-1060,2026-04-14 10:00:20,vicente50,ALTERACAO_DADOS,FALHA
